fecha;descripcion;ambito;id_mun;mun
25/02/2020;Martes de Entroido;Local;32054;Ourense
11/11/2020;San Martiño;Local;32054;Ourense
25/02/2020;Martes de Entroido;Local;32055;Paderne de Allariz
11/11/2020;San Martiño;Local;32055;Paderne de Allariz
29/06/2020;San Pedro;Local;32056;Padrenda
04/09/2020;Virxe do Hospital;Local;32056;Padrenda
25/02/2020;Martes de Entroido;Local;32057;Parada de Sil
31/08/2020;San Ramón;Local;32057;Parada de Sil
25/02/2020;Martes de Entroido;Local;32058;Pereiro de Aguiar, O
11/11/2020;San Martiño;Local;32058;Pereiro de Aguiar, O
25/02/2020;Martes de Entroido;Local;32059;Peroxa, A
11/11/2020;San Martiño;Local;32059;Peroxa, A
17/01/2020;;Local;32060;Petín
24/07/2020;;Local;32060;Petín
25/02/2020;Martes de Entroido;Local;32061;Piñor
11/11/2020;San Martiño;Local;32061;Piñor
25/02/2020;Martes de Entroido;Local;32062;Porqueira
16/07/2020;Virxe do Carme;Local;32062;Porqueira
24/08/2020;;Local;32063;Pobra de Trives, A
14/09/2020;;Local;32063;Pobra de Trives, A
25/02/2020;Martes de Entroido;Local;32064;Pontedeva
22/07/2020;Sta. Mª Madalena;Local;32064;Pontedeva
25/02/2020;Martes de Entroido;Local;32065;Punxín
20/04/2020;San Vintila;Local;32065;Punxín
25/02/2020;Martes de Entroido;Local;32066;Quintela de Leirado
08/09/2020;Virxe dos Remedios;Local;32066;Quintela de Leirado
25/02/2020;Martes de Entroido;Local;32067;Rairiz de Veiga
24/09/2020;Virxe da Mercede;Local;32067;Rairiz de Veiga
25/02/2020;Martes de Entroido;Local;32068;Ramirás
07/12/2020;;Local;32068;Ramirás
25/02/2020;Martes de Entroido;Local;32069;Ribadavia
08/09/2020;;Local;32069;Ribadavia
25/02/2020;Martes de Entroido;Local;32070;San Xoán de Río
07/08/2020;festa de Verán;Local;32070;San Xoán de Río
21/02/2020;Venres de Entroido;Local;32071;Riós
15/09/2020;Nosa Sra. dos Dolores;Local;32071;Riós
10/08/2020;Festa da Estación;Local;32072;Rúa, A
24/08/2020;San Roque;Local;32072;Rúa, A
21/05/2020;festividade da Ascensión;Local;32073;Rubiá
24/08/2020;San Bartolomeu;Local;32073;Rubiá
25/02/2020;Martes de Entroido;Local;32074;San Amaro
15/07/2020;San Amaro;Local;32074;San Amaro
25/02/2020;Martes de Entroido;Local;32075;San Cibrao das Viñas
11/11/2020;San Martiño;Local;32075;San Cibrao das Viñas
10/07/2020;San Cristovo;Local;32076;San Cristovo de Cea
21/09/2020;festas da Saleta;Local;32076;San Cristovo de Cea
25/02/2020;Martes de Entroido;Local;32077;Sandiás
13/04/2020;Luns de Pascua;Local;32077;Sandiás
24/02/2020;Luns de Entroido;Local;32078;Sarreaus
17/08/2020;Día da Beata Dorinda;Local;32078;Sarreaus
25/02/2020;Martes de Entroido;Local;32079;Taboadela
11/11/2020;San Martiño;Local;32079;Taboadela
25/02/2020;Martes de Entroido;Local;32080;Teixeira, A
